,SS11,SS12,SS13,SS14,SS15,SS16,SS17,SS18,SS19,SS20,SS21,SS22,SS23,SS24,SS25,SS26,SS27,SS28,SS29,SS30,SS31,SS32,SS33,SS34,SS35,SS36,SS37,SS38,SS39,SS40,SS41,SS42,SS43,SS44,SS45,SS46,SS47,SS48,SS49,SS50,SS51,SS52,SS53,SS54,SS55,SS56,SS57,SS58,SS59,SS60,SS61,SS62,SS63,SS64,SS65,SS66,SS67,SS68,SS69,P1,P2,P3,P4,P5,P6,P7,N1,N2,N3,N4,N5,N6,N7,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,A1,A2,A3,A4,A5,A,B,C,D,E,F,G
SS23,0.35034966,0.25515014,0.32679796,0.28607094,0.44841415,0.41723388,0.389296,0.46279317,0.5974781,0.6098559,0.3986877,0.4828261,1.0000001,0.29630443,0.32157594,0.34261844,0.64454246,0.30319294,0.2012723,0.36526635,0.2591706,0.6513837,0.47472906,0.47921377,0.6777077,0.58650786,0.5696615,0.46266076,0.31744307,0.48105472,0.39211246,0.5513648,0.49068916,0.46054804,0.51644856,0.5649081,0.44694757,0.47406638,0.5454638,0.42002302,0.5200679,0.4359615,0.40424025,0.50252175,0.5574901,0.2200985,0.30807167,0.39268097,0.35095307,0.41188338,0.5129607,0.41546136,0.6227455,0.6443727,0.42044044,0.6082121,0.4242306,0.49424082,0.7358119,0.49637324,0.5978495,0.4921619,0.44377524,0.470359,0.5050492,0.29305333,0.3765739,0.44029185,0.4964554,0.39633924,0.6668224,0.57914174,0.5781668,0.40375167,0.37157393,0.45145103,0.33394083,0.36456752,0.3481711,0.35174653,0.41583812,0.6242011,0.45507926,0.52033234,0.5315024,0.49597797,0.40980634,0.49164543,0.464671,0.47281063,0.46609306,0.6922962,0.49438292,0.58068943,0.4267271,0.41904086,0.7199097,0.41014418,0.734777,0.44895458,0.44045213
SS24,0.5301596,0.37875956,0.47548518,0.5546261,0.40777618,0.25925893,0.2696424,0.36756364,0.32882056,0.30834123,0.30293256,0.32166398,0.29630443,0.99999994,0.427192,0.49447054,0.26604867,0.482167,0.42151654,0.48258793,0.392358,0.2818656,0.4675687,0.23376614,0.38330618,0.3465973,0.34182635,0.3130672,0.4688368,0.5028377,0.4377078,0.3832206,0.35339928,0.40970966,0.43753654,0.394932,0.3171237,0.48598742,0.4051625,0.35383767,0.29838136,0.3448454,0.3453667,0.35728633,0.26490188,0.7579988,0.6294871,0.4998098,0.5977658,0.48164487,0.29905504,0.23576671,0.22509074,0.25622886,0.27729404,0.36984596,0.31374156,0.30123654,0.30613562,0.29560453,0.23036695,0.38569427,0.3581615,0.4085294,0.35329387,0.39100778,0.2888934,0.35918605,0.3847515,0.3995465,0.24982947,0.30220857,0.35960835,0.4331832,0.28414154,0.3744661,0.28346878,0.5215138,0.2559948,0.29730868,0.5075357,0.42061374,0.43633097,0.27975765,0.34018633,0.30020356,0.3935114,0.3323084,0.45241982,0.29586202,0.34808135,0.27793667,0.32628506,0.23938763,0.30710456,0.37680852,0.29638952,0.3272314,0.3385421,0.43855467,0.3999704
SS25,0.28425455,0.3917545,0.28042075,0.37072098,0.31864333,0.32464987,0.0923969,0.2323545,0.35309294,0.30692592,0.39182863,0.39578307,0.32157594,0.427192,0.9999998,0.50904316,0.16809778,0.5644291,0.39746633,0.47107863,0.4649623,0.17240569,0.5430954,0.5482783,0.43429825,0.22383586,0.15508494,0.2081529,0.16271716,0.31069046,0.18776166,0.16994749,0.2765063,0.3088432,0.38986623,0.35728276,0.19947068,0.29315078,0.39508384,0.32958648,0.2876689,0.25162435,0.2402172,0.3766526,0.14660473,0.4760211,0.4654777,0.36058205,0.4252535,0.3421758,0.39676958,0.2715527,0.33651355,0.30541122,0.2858501,0.39064473,0.39605892,0.2855789,0.2654144,0.1728797,0.25280002,0.14253852,0.3450646,0.34044603,0.17768997,0.18926257,0.052376837,0.3230928,0.20858055,0.34675342,0.37844294,0.1605751,0.23287128,0.31286266,0.21645413,0.3145501,0.31114188,0.39408797,0.16811395,0.30845386,0.38868478,0.319395,0.4433024,0.33572257,0.3268758,0.35071516,0.42131564,0.22405106,0.36417544,0.16437283,0.092741944,0.22909166,0.17976671,0.044967588,0.16471061,0.10550283,0.30435437,0.22581622,0.24240887,0.3558177,0.3798633
SS26,0.3847784,0.51672447,0.43824843,0.39639905,0.4173153,0.25439236,0.26297542,0.35934418,0.28542662,0.2914148,0.4360866,0.36272997,0.34261844,0.49447054,0.50904316,1.0000001,0.3246774,0.57366854,0.4108208,0.48442322,0.40895438,0.31451505,0.5288042,0.26410484,0.42945698,0.28137442,0.21071436,0.3025023,0.36856902,0.35235497,0.2581251,0.22304638,0.2658699,0.35145456,0.37019545,0.34565324,0.26914388,0.40662056,0.39303184,0.360994,0.3048683,0.32783756,0.3317875,0.41466936,0.17530875,0.47908562,0.5044289,0.4653695,0.49702027,0.35682842,0.36827248,0.16191992,0.2835325,0.17153552,0.28451988,0.4044709,0.42977622,0.27034947,0.30390424,0.21343625,0.25391862,0.25591895,0.5613451,0.23475093,0.21417776,0.30825275,0.28086627,0.49252486,0.38518173,0.4709453,0.22717927,0.34054834,0.3728004,0.48422277,0.45630902,0.35692567,0.5047481,0.4776097,0.36360002,0.40785447,0.5078269,0.3731007,0.43559694,0.44099784,0.31254563,0.36652416,0.48133412,0.3887394,0.5416573,0.21920848,0.21892485,0.2257089,0.3359083,0.22521779,0.21065572,0.21874319,0.2615692,0.30410495,0.3702985,0.42984304,0.51921135
SS27,0.3066367,0.13626085,0.19789256,0.14192808,0.34872022,0.23442164,0.44415784,0.38005757,0.31930274,0.3001819,0.22688866,0.23908399,0.64454246,0.26604867,0.16809778,0.3246774,0.9999997,0.27377245,0.20996949,0.3205622,0.26515543,0.70383936,0.2543374,0.25813353,0.5254103,0.51693875,0.49116266,0.3703488,0.34854645,0.43584082,0.36943614,0.5579145,0.4146958,0.3510346,0.40068558,0.43135887,0.39630926,0.4105135,0.35361558,0.32880148,0.24609429,0.24812515,0.23980886,0.3917225,0.5530276,0.18987471,0.23370805,0.3666827,0.24953577,0.40299785,0.30678445,0.14766523,0.43104184,0.30799165,0.24582061,0.3888153,0.16096845,0.26950797,0.5466638,0.45228398,0.39360255,0.49503422,0.4818787,0.3758633,0.471321,0.37780958,0.37441885,0.41861838,0.3721431,0.38920945,0.35752475,0.4141674,0.31633124,0.36571145,0.46831846,0.41587618,0.3134614,0.3059456,0.45245296,0.28113174,0.36201814,0.39660835,0.29517627,0.30933124,0.48799348,0.44060877,0.41696826,0.4953487,0.45749587,0.39130387,0.43077153,0.56435317,0.44648892,0.71082115,0.3880898,0.397167,0.505566,0.26383805,0.73063534,0.40279302,0.40856117
SS28,0.33170435,0.48342815,0.40603736,0.42544225,0.38427147,0.25833666,0.20596342,0.31317234,0.33051845,0.3137365,0.34884298,0.35145754,0.30319294,0.482167,0.5644291,0.57366854,0.27377245,1.0,0.6195228,0.5937709,0.56332856,0.29509532,0.5041188,0.34943002,0.38980946,0.31833762,0.2533026,0.30979237,0.34392262,0.37789577,0.3435476,0.32746765,0.3376153,0.39041665,0.41018543,0.4173976,0.33003414,0.41430175,0.42391023,0.40913478,0.3201712,0.34628016,0.31816387,0.4529508,0.29942575,0.497626,0.5118484,0.37358683,0.46806183,0.43960592,0.3556499,0.18866958,0.27453882,0.25010788,0.30949402,0.41863215,0.3340134,0.27513975,0.30534878,0.28282234,0.25096956,0.28000894,0.52551556,0.468244,0.28538322,0.24260062,0.22079068,0.490283,0.3610794,0.5549024,0.34713373,0.30622613,0.3157426,0.4681622,0.39645338,0.37624812,0.33618483,0.46013296,0.31832987,0.39499506,0.4441865,0.35584515,0.42796275,0.33809626,0.36717853,0.41830492,0.43293238,0.32203642,0.5126251,0.29517293,0.2639598,0.23320076,0.2480996,0.21600795,0.27076632,0.27563578,0.28779542,0.36670932,0.36843416,0.36609966,0.4410314
SS29,0.26187214,0.39728072,0.29909968,0.37623593,0.32336614,0.18187582,0.12621264,0.29862845,0.24096555,0.20894629,0.21624796,0.29425225,0.2012723,0.42151654,0.39746633,0.4108208,0.20996949,0.6195228,1.0000001,0.63172746,0.54469794,0.23191333,0.4090381,0.20850873,0.26931134,0.2406787,0.1900935,0.25110373,0.28747183,0.33111155,0.27383456,0.23391807,0.33774447,0.46373096,0.4691373,0.36471412,0.33059502,0.44037223,0.37241822,0.3981117,0.24822919,0.3076929,0.39008862,0.3135938,0.28074008,0.3685613,0.6229788,0.37431484,0.34915832,0.39056242,0.28046358,0.1572312,0.21239097,0.20759368,0.22909462,0.3069131,0.28345314,0.24590236,0.2303066,0.2749338,0.12777388,0.19798407,0.37841937,0.35232335,0.32931763,0.28629833,0.16146435,0.31615874,0.3365643,0.4350597,0.096717924,0.23597789,0.22049604,0.39620838,0.29797417,0.35610482,0.25590515,0.3042691,0.2631332,0.14232244,0.37857825,0.28236333,0.23683667,0.21630034,0.2482619,0.23684305,0.3960356,0.25290313,0.4524116,0.283112,0.18831721,0.15471761,0.15812054,0.15824422,0.27334142,0.20519978,0.19095236,0.331884,0.23479518,0.26673156,0.25604898
SS30,0.39386657,0.38105083,0.40444252,0.49529874,0.523257,0.30821636,0.30033243,0.38650948,0.36004394,0.34710374,0.30017254,0.3924182,0.36526635,0.48258793,0.47107863,0.48442322,0.3205622,0.5937709,0.63172746,1.0000001,0.7687199,0.3654534,0.5371205,0.36884218,0.41727784,0.34523684,0.2533239,0.36785275,0.342144,0.44203812,0.3514167,0.35438916,0.44821295,0.576692,0.5117271,0.49490052,0.39448214,0.48283002,0.4821142,0.49465567,0.36402255,0.34171355,0.39630347,0.37528682,0.378371,0.4412265,0.54838085,0.4174191,0.37331405,0.40981442,0.3869683,0.25378573,0.3117549,0.30110902,0.3024534,0.3862563,0.34942585,0.33284736,0.312016,0.38566566,0.24425526,0.3202356,0.42888558,0.4896937,0.47306883,0.3847454,0.33749878,0.5461762,0.56947047,0.5349365,0.37571368,0.43926543,0.3713465,0.4585912,0.3847195,0.46525133,0.41513953,0.38630712,0.36269778,0.28686684,0.5465383,0.34939212,0.4938808,0.3741795,0.41469672,0.38554147,0.45351282,0.4334761,0.6087637,0.37634718,0.3036564,0.3042236,0.23964956,0.2836548,0.3840701,0.31254837,0.3223794,0.44888616,0.3822695,0.33726966,0.36831027
SS31,0.29335618,0.37841362,0.27335593,0.43743896,0.3951878,0.30591625,0.123219065,0.25474232,0.3822344,0.3153609,0.27697578,0.3966856,0.2591706,0.392358,0.4649623,0.40895438,0.26515543,0.56332856,0.54469794,0.7687199,1.0,0.26601067,0.5139851,0.23686823,0.33553964,0.29446194,0.21602544,0.3126849,0.19944626,0.35071945,0.2707697,0.22848411,0.3156873,0.4346417,0.35478213,0.3594371,0.23713686,0.30809152,0.41745028,0.30549812,0.27863187,0.30153078,0.28082174,0.3011389,0.20708978,0.40424067,0.5352754,0.36053056,0.38447767,0.3192907,0.39444464,0.27072176,0.25380364,0.22680274,0.29966,0.37315854,0.33629644,0.34648073,0.25942877,0.2813244,0.20281258,0.17603739,0.2906458,0.35606545,0.34977186,0.2507254,0.15144858,0.35646436,0.4393002,0.5628135,0.29956985,0.35117203,0.32070845,0.26003966,0.1879236,0.25451583,0.25968468,0.2995071,0.21731395,0.23661879,0.45216432,0.27725345,0.40961635,0.29516125,0.3054055,0.3438905,0.3395316,0.2963837,0.55235285,0.2268844,0.20107672,0.30184942,0.20230275,0.2192535,0.21638528,0.19188102,0.2938937,0.31822807,0.32590383,0.26339507,0.29976135
SS32,0.34269446,0.18321034,0.25173524,0.19999793,0.4860171,0.26264986,0.5277453,0.49762976,0.3413144,0.34233576,0.20031062,0.22393385,0.6513837,0.2818656,0.17240569,0.31451505,0.70383936,0.29509532,0.23191333,0.3654534,0.26601067,1.0000002,0.33335096,0.2942643,0.61678696,0.45886803,0.4177336,0.3226042,0.30005598,0.38562626,0.24000272,0.48549336,0.3793947,0.36401582,0.39177874,0.355999,0.29514247,0.38679734,0.37194753,0.3146298,0.220037,0.29034522,0.23064193,0.36520296,0.5398881,0.1836926,0.24243814,0.31684682,0.2058596,0.4096334,0.35433167,0.2203205,0.4190299,0.31840974,0.31273106,0.44928277,0.28246057,0.34511334,0.5712875,0.40387404,0.34996724,0.39851525,0.49271768,0.30456644,0.43414575,0.33703166,0.46025515,0.43434498,0.40408903,0.40004998,0.37034473,0.40253997,0.31343034,0.35831898,0.41518384,0.3633067,0.3535068,0.32731044,0.51325905,0.30523658,0.36015737,0.3164747,0.2819942,0.31873134,0.46883354,0.3761505,0.34619308,0.44132525,0.4473104,0.33095574,0.34522167,0.54063064,0.45964664,0.7094025,0.3302313,0.3091954,0.47285327,0.28589773,0.7516492,0.4075644,0.34546173
