,SS11,SS12,SS13,SS14,SS15,SS16,SS17,SS18,SS19,SS20,SS21,SS22,SS23,SS24,SS25,SS26,SS27,SS28,SS29,SS30,SS31,SS32,SS33,SS34,SS35,SS36,SS37,SS38,SS39,SS40,SS41,SS42,SS43,SS44,SS45,SS46,SS47,SS48,SS49,SS50,SS51,SS52,SS53,SS54,SS55,SS56,SS57,SS58,SS59,SS60,SS61,SS62,SS63,SS64,SS65,SS66,SS67,SS68,SS69,P1,P2,P3,P4,P5,P6,P7,N1,N2,N3,N4,N5,N6,N7,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,A1,A2,A3,A4,A5,A,B,C,D,E,F,G
SS11,1.0000002,0.55242515,0.3969845,0.54548264,0.55546623,0.53580964,0.53968084,0.52109414,0.38690227,0.34404224,0.2656011,0.38576335,0.36506194,0.2918612,0.31527674,0.35394323,0.4611986,0.24151118,0.20293158,0.37287664,0.3435231,0.3967442,0.41228512,0.31803927,0.3271472,0.22522841,0.31820887,0.3582763,0.2658302,0.1858274,0.24875396,0.31801453,0.23650621,0.24884331,0.19804594,0.24230644,0.19914038,0.30468288,0.30192128,0.32136723,0.30036545,0.31197292,0.28098953,0.31798506,0.33845407,0.24058503,0.34799123,0.38177085,0.355332,0.40828153,0.23844497,0.25999025,0.22509582,0.10269954,0.19292763,0.46839792,0.40544605,0.17844568,0.4273883,0.18763109,0.33584982,0.44397923,0.590197,0.28346214,0.4535021,0.48671284,0.6475791,0.46383968,0.52945256,0.3580814,0.2868085,0.54968524,0.51618373,0.40510374,0.472442,0.4312791,0.6129546,0.4429016,0.44273975,0.3947632,0.45296696,0.28033692,0.4108738,0.49555382,0.413139,0.474118,0.39435223,0.4578544,0.46773106,0.3109052,0.23115605,0.3502489,0.46274984,0.5437969,0.23009981,0.20719837,0.28012568,0.3498323,0.48014587,0.2940262,0.51435614
SS12,0.55242515,1.0,0.53665614,0.61397684,0.4162678,0.56674945,0.33203837,0.2467819,0.5303593,0.44234475,0.3675488,0.4785275,0.24061267,0.20085311,0.3470819,0.4369945,0.29522943,0.29442146,0.35088354,0.28979188,0.29118544,0.1742668,0.43468702,0.26621717,0.3013899,0.16117367,0.21190764,0.3226728,0.18002272,0.11721738,0.17722163,0.17409515,0.17760374,0.100336954,0.053170368,0.073362984,0.065087825,0.11722677,0.22223867,0.21306887,0.20231059,0.22484668,0.21593946,0.29132938,0.16997086,0.13713977,0.31703705,0.29565397,0.3507452,0.22031327,0.31467462,0.25216898,0.15983915,0.06913719,0.25122562,0.42701903,0.5331337,0.22714859,0.37752467,0.03617177,0.2533019,0.27382046,0.5287114,0.09683978,0.29520127,0.34839046,0.35236755,0.3699773,0.5347926,0.43522078,0.19378492,0.59058267,0.41772395,0.25199017,0.35892496,0.2979046,0.58254313,0.45798302,0.2830822,0.5624502,0.4380231,0.14422654,0.3206028,0.47748226,0.22110435,0.42283666,0.24747127,0.3430338,0.41102558,0.1190898,0.16968288,0.28802833,0.44757867,0.33949873,0.06705801,0.111163445,0.20544732,0.27219817,0.3334969,0.28648424,0.5094059
SS13,0.3969845,0.53665614,1.0000001,0.493752,0.43823272,0.4071396,0.30283624,0.37127668,0.40107307,0.38440782,0.25804394,0.3261627,0.3155317,0.28913364,0.299385,0.34466502,0.23576333,0.31770283,0.35041085,0.35124815,0.3651358,0.19647177,0.3716475,0.23110925,0.21003954,0.10130594,0.20621243,0.21486196,0.19757888,0.10856431,0.16895771,0.15506998,0.11469606,0.15422834,0.029794034,0.058093525,0.014057788,0.13889584,0.27315742,0.18142454,0.18821386,0.25991154,0.22055261,0.2552155,0.15022266,0.22972043,0.37733358,0.34243777,0.4259846,0.22489712,0.28897566,0.35526526,0.20022166,0.1283837,0.267239,0.2537579,0.32712892,0.18279739,0.35264242,0.022453163,0.27828234,0.2271018,0.35189262,0.11195608,0.18474022,0.30983302,0.41389984,0.3448322,0.3787319,0.3916288,0.33132735,0.45329687,0.35592857,0.25481278,0.18579102,0.1965081,0.39553946,0.48741558,0.25971347,0.46213078,0.30593726,0.17937991,0.31216615,0.2966877,0.22723344,0.36820713,0.260026,0.3372296,0.30327487,0.16917399,0.09040011,0.27683425,0.37902284,0.3166349,0.08631612,0.09008418,0.24782583,0.27300498,0.28216773,0.33885998,0.3931522
SS14,0.54548264,0.61397684,0.493752,1.0000002,0.47799715,0.49075988,0.34086502,0.352005,0.4944143,0.47222212,0.33179426,0.4253708,0.2972733,0.38730866,0.4463126,0.28751498,0.36860543,0.3096354,0.37197798,0.40950486,0.3872172,0.22216733,0.53805786,0.37662894,0.44824997,0.13654763,0.16708034,0.27543494,0.11898094,0.17395695,0.23165618,0.19755933,0.18744628,0.19637923,0.18444102,0.16389601,0.15348239,0.18100527,0.27365583,0.2080727,0.2154446,0.17736645,0.15077691,0.24336387,0.21457182,0.22917719,0.3664969,0.26389238,0.3052135,0.25545675,0.3071701,0.34293383,0.23121059,0.16032445,0.23575976,0.2872325,0.4395494,0.2190221,0.39431277,0.11190449,0.28812787,0.2821681,0.35561085,0.16285227,0.31829152,0.37730503,0.39852607,0.42189193,0.7079725,0.40231347,0.22598062,0.5180198,0.35816553,0.25440243,0.28415397,0.33419663,0.45187843,0.35234195,0.35772753,0.42640847,0.43291572,0.13765499,0.37326288,0.5997301,0.30293077,0.33639446,0.32666203,0.35405996,0.42547312,0.16599753,0.13827422,0.31510052,0.38845965,0.42146587,0.15748101,0.14542195,0.23867449,0.19918454,0.38738412,0.3195754,0.36321035
SS15,0.55546623,0.4162678,0.43823272,0.47799715,1.0000002,0.40356275,0.4897502,0.6550357,0.4515828,0.34590694,0.27974513,0.5311806,0.2967271,0.210877,0.35758096,0.29891622,0.4492711,0.32962814,0.32284856,0.4004832,0.35350612,0.3659246,0.4858577,0.42340192,0.3567252,0.119960904,0.20748544,0.2630624,0.1578436,0.122465394,0.12698361,0.22953571,0.13849191,0.14955196,0.100111455,0.1129311,0.095191576,0.15567563,0.23138578,0.22344661,0.22678283,0.2011992,0.20275205,0.30164966,0.23364262,0.13070045,0.3433105,0.3434542,0.3066458,0.31654924,0.18727854,0.36806652,0.15469381,0.10139261,0.18483633,0.32031107,0.29957172,0.10216571,0.37275213,0.07030852,0.23268855,0.3053434,0.49198562,0.1716612,0.26496148,0.41797414,0.57964075,0.47186828,0.48475623,0.45037606,0.2721788,0.5216378,0.34147668,0.23237455,0.27109078,0.3703956,0.42369014,0.28300303,0.45879084,0.342304,0.46435443,0.24063082,0.3404989,0.4028592,0.35315904,0.41529045,0.34439802,0.3799815,0.42572874,0.2195473,0.15308805,0.2713918,0.42235258,0.45373136,0.13442956,0.144446,0.21357407,0.2915539,0.43705672,0.3355936,0.441746
SS16,0.53580964,0.56674945,0.4071396,0.49075988,0.40356275,0.9999999,0.44821453,0.33618292,0.62331825,0.5725802,0.26692793,0.43194744,0.322083,0.28452197,0.3412974,0.23473251,0.33548826,0.25786334,0.28682768,0.27842063,0.3099952,0.2032747,0.41918412,0.2889121,0.26967078,0.24373075,0.38250342,0.45645678,0.08291172,0.06709835,0.10562745,0.18150689,0.17530775,0.17434074,0.114598475,0.15801108,0.13068765,0.14764808,0.2580125,0.17263098,0.18678914,0.25503102,0.17200372,0.1769486,0.23829217,0.20925538,0.36939752,0.32124507,0.31273967,0.28967005,0.36336353,0.35656434,0.29292193,0.18630037,0.38194,0.5456399,0.52456856,0.31747302,0.4595808,0.08412173,0.24179287,0.23062661,0.48708883,0.21766399,0.26012695,0.4081557,0.394979,0.3203424,0.50790125,0.31581852,0.20165357,0.5561372,0.45693484,0.24023528,0.25845996,0.2327749,0.48112828,0.3585133,0.23114118,0.38077033,0.40293092,0.16420582,0.26243043,0.48978555,0.2445103,0.40116453,0.2303914,0.3319392,0.31088185,0.19353977,0.17126735,0.4091948,0.31771702,0.4063211,0.13288385,0.081312604,0.29779625,0.21819504,0.4246865,0.23533073,0.35537565
SS17,0.53968084,0.33203837,0.30283624,0.34086502,0.4897502,0.44821453,1.0,0.6221418,0.29031307,0.29309312,0.20379706,0.32270202,0.22597311,0.22778922,0.21512032,0.2386855,0.4793716,0.30817822,0.27384713,0.3783874,0.29705817,0.3677464,0.33278495,0.4054836,0.32009196,0.07642761,0.12802051,0.19618568,0.20933872,0.122218475,0.1273759,0.2668832,0.16327943,0.15477377,0.14194271,0.14583558,0.1589867,0.17747518,0.17601594,0.24443662,0.21572192,0.16978638,0.15111399,0.298461,0.3351638,0.1185049,0.28395623,0.40773845,0.20046794,0.38011613,0.16603562,0.27912372,0.1412641,0.036195006,0.17324287,0.3168581,0.2396748,0.13877009,0.3422789,0.116546296,0.24706082,0.29416305,0.45453084,0.24187267,0.31954247,0.45801055,0.7098723,0.45159858,0.44106716,0.38232872,0.2191853,0.38357395,0.34429538,0.24479988,0.2922037,0.3490392,0.4235032,0.27422208,0.3962395,0.2726682,0.3638577,0.14684352,0.2751298,0.3699531,0.26291585,0.31123397,0.35412097,0.311984,0.3527131,0.22894008,0.13448155,0.19308367,0.31937522,0.44574702,0.20384182,0.16453962,0.19269526,0.30192167,0.47351867,0.37292346,0.43811032
SS18,0.52109414,0.2467819,0.37127668,0.352005,0.6550357,0.33618292,0.6221418,0.99999994,0.22425118,0.20320624,0.1667256,0.29019699,0.2525595,0.19060221,0.20502359,0.21584053,0.4153845,0.28266725,0.26056492,0.3827902,0.33839142,0.36320296,0.33967248,0.26334557,0.18309951,0.09731275,0.16238672,0.19230193,0.17364842,0.14574876,0.14826232,0.24528095,0.13816871,0.2441838,0.1906658,0.19913164,0.17848876,0.21193531,0.27268165,0.26936033,0.19716273,0.20608994,0.24254167,0.22611593,0.2942746,0.24603395,0.4210528,0.46558753,0.27266923,0.38458174,0.17503025,0.28316158,0.19477165,0.13046168,0.10785827,0.26282948,0.20658109,0.11157253,0.3814625,0.16331735,0.23666362,0.31986308,0.552662,0.29461744,0.30764747,0.45584604,0.69528097,0.44118762,0.3701812,0.35410285,0.22647327,0.37813705,0.30421203,0.29916298,0.32447493,0.3871201,0.41087663,0.3360323,0.4993918,0.20952372,0.3640735,0.3149202,0.25165355,0.28664252,0.27046263,0.33822364,0.40730044,0.38891065,0.38249722,0.26385623,0.13735287,0.22209273,0.37540942,0.4611433,0.24377708,0.12600094,0.2381442,0.3190464,0.3920039,0.5122229,0.39874566
SS19,0.38690227,0.5303593,0.40107307,0.4944143,0.4515828,0.62331825,0.29031307,0.22425118,1.0000001,0.8476596,0.45478868,0.55646324,0.39589572,0.24408661,0.37504947,0.2134127,0.23900874,0.26266342,0.2632288,0.314127,0.342522,0.15091828,0.35239395,0.2609213,0.26725826,0.2105865,0.35152584,0.39417654,0.04925249,0.033528935,0.09844361,0.19026676,0.18950924,0.09784877,0.06441713,0.1018272,0.08454116,0.071955234,0.25979358,0.18036641,0.1846212,0.27366912,0.12672274,0.19513649,0.20476608,0.15961692,0.27531797,0.19010106,0.29676774,0.26753476,0.42537856,0.50430167,0.310559,0.25892437,0.4945838,0.5694169,0.5105332,0.30470905,0.44780403,0.0722865,0.3027955,0.21418384,0.3559393,0.15720136,0.19672653,0.31393015,0.29735237,0.29930803,0.51546425,0.28797477,0.25596523,0.61639965,0.44419608,0.18875536,0.15334909,0.27785036,0.3535281,0.21212,0.21428317,0.39978674,0.4153681,0.18860918,0.29031026,0.5111003,0.30354303,0.3717271,0.2464202,0.27895588,0.2629911,0.16865426,0.17061059,0.4492088,0.2700011,0.26358306,0.102776125,0.082527526,0.33000606,0.23393384,0.34486577,0.22773969,0.29461622
SS20,0.34404224,0.44234475,0.38440782,0.47222212,0.34590694,0.5725802,0.29309312,0.20320624,0.8476596,1.0000002,0.37341937,0.45893002,0.40336442,0.2619397,0.31015763,0.17298189,0.23205501,0.24836823,0.23032734,0.24933693,0.302487,0.13717121,0.3198157,0.21865502,0.26075852,0.19032657,0.31848073,0.3390762,0.06238888,0.026560968,0.12899919,0.1748945,0.19340587,0.098206125,0.10842021,0.16675408,0.16243228,0.12518078,0.2967364,0.19042525,0.21365531,0.26613918,0.124449775,0.1660914,0.25033736,0.17530125,0.25351587,0.18137163,0.34063926,0.23811595,0.46498573,0.4614954,0.38480395,0.31488353,0.51501876,0.4901143,0.48147574,0.33825907,0.47416025,0.12526587,0.3341576,0.17604789,0.2530494,0.19325092,0.16435812,0.26643035,0.23778732,0.23419687,0.50532186,0.2454669,0.32871273,0.52775276,0.46358722,0.20571595,0.12969087,0.21857373,0.2743418,0.22855136,0.22255169,0.33825788,0.3372288,0.24377164,0.2674058,0.43672112,0.27315307,0.28297603,0.17805782,0.2498429,0.19581757,0.2081028,0.15221128,0.46189022,0.25040132,0.23386516,0.17253387,0.08345841,0.3716384,0.21306139,0.32924846,0.22811736,0.25270158
