,SS11,SS12,SS13,SS14,SS15,SS16,SS17,SS18,SS19,SS20,SS21,SS22,SS23,SS24,SS25,SS26,SS27,SS28,SS29,SS30,SS31,SS32,SS33,SS34,SS35,SS36,SS37,SS38,SS39,SS40,SS41,SS42,SS43,SS44,SS45,SS46,SS47,SS48,SS49,SS50,SS51,SS52,SS53,SS54,SS55,SS56,SS57,SS58,SS59,SS60,SS61,SS62,SS63,SS64,SS65,SS66,SS67,SS68,SS69,P1,P2,P3,P4,P5,P6,P7,N1,N2,N3,N4,N5,N6,N7,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,A1,A2,A3,A4,A5,A,B,C,D,E,F,G
P3,0.38114494,0.31915474,0.22841421,0.3843827,0.30572015,0.31796888,0.26465312,0.37151092,0.23805071,0.21383888,0.26468563,0.24242496,0.47071588,0.30741647,0.29325727,0.3989221,0.42560744,0.33216903,0.2963557,0.3556312,0.22818618,0.4121637,0.4502356,0.36122555,0.50025606,0.6756907,0.56694365,0.554548,0.64476126,0.61899525,0.7077039,0.82527065,0.5951558,0.52430546,0.49800524,0.5448476,0.4144281,0.6193583,0.51628876,0.65930414,0.51718944,0.55260885,0.5478432,0.48203582,0.62968045,0.29746237,0.38842183,0.40796152,0.49677974,0.45781657,0.3081634,0.20269373,0.44825727,0.2780657,0.31576446,0.4217893,0.2714965,0.22321148,0.4785264,0.64121455,0.49826977,1.0,0.504704,0.44619304,0.6157634,0.4321295,0.4352406,0.40131727,0.3401774,0.27736923,0.38731188,0.4331694,0.46276325,0.48765996,0.45170206,0.48499525,0.30714783,0.41025072,0.4396649,0.36526835,0.47440904,0.4019717,0.47829312,0.38128453,0.63164115,0.56600046,0.5452112,0.5824342,0.45313534,0.683953,0.78558356,0.54304653,0.57677615,0.4945131,0.54417837,0.73774195,0.5589332,0.5087564,0.42847094,0.41844666,0.5842371
P4,0.5349117,0.57863677,0.33738527,0.49098128,0.4958909,0.4877182,0.41478196,0.5590595,0.42011315,0.37538666,0.35812104,0.4629559,0.3094075,0.33349958,0.40569666,0.5722147,0.44694817,0.4684797,0.4324895,0.4048065,0.27963978,0.3352639,0.52645695,0.34697902,0.5148331,0.3481452,0.27372447,0.32968962,0.34732717,0.20569845,0.24436466,0.42303544,0.2905448,0.35432452,0.1967608,0.2686543,0.11265543,0.32065812,0.24621277,0.35717675,0.28382683,0.30491388,0.29437742,0.28611013,0.33142266,0.22081757,0.29572767,0.44064963,0.2915322,0.35276675,0.27885476,0.26991433,0.37468383,0.05480802,0.26040176,0.6029935,0.43481496,0.2660523,0.44688883,0.30178207,0.31357953,0.504704,1.0000001,0.29645985,0.42505544,0.5645712,0.56068027,0.50406677,0.54302126,0.38958552,0.28432614,0.6389967,0.51174176,0.4301535,0.5839499,0.3959991,0.62068504,0.38525042,0.42519543,0.5361928,0.59677297,0.19293702,0.419486,0.62714726,0.39814073,0.5723821,0.48702508,0.5298257,0.5095212,0.35329866,0.3568589,0.41738665,0.49893466,0.46995166,0.20111349,0.35069072,0.39001244,0.2775511,0.4351313,0.49861217,0.59922993
P5,0.23693742,0.123329304,0.12827055,0.23508623,0.25323915,0.19905,0.30073777,0.3020712,0.2071818,0.26423183,0.08987247,0.17073068,0.4228617,0.32465506,0.25660488,0.21973252,0.3488185,0.283607,0.19142671,0.36163297,0.21626961,0.25040486,0.29195628,0.35061356,0.32697898,0.22642721,0.20775975,0.2259633,0.21098502,0.373873,0.3081389,0.43519604,0.56509334,0.58414114,0.5262042,0.74144226,0.5455787,0.4518118,0.42962304,0.5032413,0.37472022,0.3502196,0.4069926,0.31927592,0.64173687,0.28679675,0.3006326,0.30377015,0.34498394,0.45331132,0.20860016,0.26243973,0.25709435,0.25526887,0.2808715,0.22761384,0.10167337,0.15903282,0.37829685,0.6003156,0.3396691,0.44619304,0.29645985,1.0000002,0.5440432,0.32197344,0.2484183,0.22286457,0.27174193,0.2305953,0.3646638,0.29822046,0.38918242,0.34481433,0.24930093,0.45823032,0.23009525,0.33854717,0.2952502,0.12537968,0.30651438,0.42709154,0.32113087,0.17810033,0.46564892,0.29041928,0.3142556,0.3697666,0.30891714,0.6238892,0.33745128,0.25740695,0.3149427,0.27875593,0.6159343,0.26980397,0.37732643,0.40547365,0.22273207,0.3159227,0.37136742
P6,0.33208942,0.25776786,0.17108737,0.34992126,0.31237024,0.2369678,0.32664797,0.3692501,0.1910373,0.1498222,0.22594413,0.24493179,0.3723794,0.25373018,0.22265626,0.2655082,0.4768143,0.20747441,0.21673003,0.40132913,0.3002253,0.39189368,0.3764194,0.2840934,0.4100726,0.40443707,0.3564331,0.38315415,0.32490784,0.402107,0.37812787,0.47542095,0.78048825,0.60953665,0.5598625,0.53792465,0.52611494,0.5428158,0.48328167,0.55089074,0.42925084,0.42162,0.49799696,0.36558133,0.63306427,0.1827194,0.33302402,0.39352915,0.3645026,0.36438844,0.27538103,0.20018767,0.2913779,0.1874893,0.2542385,0.3513412,0.17569207,0.1244799,0.40578714,0.6806033,0.410168,0.6157634,0.42505544,0.5440432,1.0000001,0.572764,0.394763,0.39774874,0.4358052,0.31492236,0.29335314,0.3971215,0.48759443,0.5053134,0.4907471,0.65035033,0.39676335,0.32547927,0.45966643,0.23621032,0.5089769,0.2960797,0.44714308,0.35468888,0.6711207,0.44802237,0.5163457,0.538706,0.61797786,0.673097,0.44950518,0.41631544,0.43083054,0.47174758,0.6339835,0.3739367,0.46735778,0.4547918,0.381708,0.35175428,0.4761824
P7,0.42212227,0.33038676,0.31405577,0.41439074,0.5038526,0.34824723,0.42437142,0.48913068,0.34171033,0.32633296,0.3213306,0.32399997,0.2611848,0.30331892,0.33847708,0.36905983,0.4040805,0.22904621,0.2344384,0.4409204,0.31248465,0.32543278,0.42384768,0.3431359,0.4063686,0.28832203,0.21891782,0.25609434,0.23495567,0.099392325,0.17856655,0.27931303,0.37400225,0.3897705,0.29096082,0.2446862,0.2268506,0.27958503,0.2662151,0.34978124,0.23155394,0.22215024,0.28571513,0.22564486,0.3620543,0.16639304,0.3097953,0.66272527,0.26166123,0.37016568,0.25044164,0.34784228,0.28346342,0.13275592,0.29586452,0.442625,0.26958877,0.18037747,0.38537055,0.33341682,0.2716526,0.4321295,0.5645712,0.32197344,0.572764,1.0000001,0.49256155,0.4419288,0.5826317,0.4334185,0.26796493,0.53495467,0.46717477,0.38068968,0.38933727,0.49260163,0.5078533,0.3375052,0.38765064,0.35005507,0.6757472,0.16065168,0.35441813,0.40788585,0.47144932,0.40199432,0.5597361,0.4032725,0.51857525,0.3698496,0.20702884,0.32271543,0.40636677,0.41553783,0.29532766,0.18606071,0.34987593,0.31047484,0.35244414,0.45256776,0.5639443
N1,0.69155115,0.39218864,0.42507225,0.53830314,0.5556827,0.4519546,0.64037204,0.7352466,0.3122765,0.331088,0.24540585,0.30587345,0.34073287,0.3754578,0.25900006,0.49919587,0.48503506,0.41858667,0.451714,0.54642797,0.37381154,0.36326692,0.46475664,0.29161802,0.3944743,0.26741907,0.16376668,0.26407212,0.31750962,0.2225518,0.23543754,0.33792362,0.19813563,0.30666685,0.27969936,0.24128689,0.15708145,0.37041956,0.25985312,0.3237049,0.26858515,0.24601646,0.3009006,0.34075263,0.32891023,0.26753068,0.34464854,0.38696405,0.23974282,0.34197617,0.30718052,0.2730003,0.2902972,0.070029505,0.21462876,0.41677755,0.237986,0.21449898,0.41844177,0.33094844,0.3482607,0.4352406,0.56068027,0.2484183,0.394763,0.49256155,1.0,0.57177365,0.50028145,0.41903853,0.3356034,0.52821845,0.40186742,0.42993796,0.45934954,0.44751897,0.5320346,0.43685636,0.5429186,0.5130658,0.45395598,0.25909257,0.46502653,0.42045456,0.4209016,0.54245406,0.42383698,0.44317687,0.5057834,0.35986128,0.21883884,0.37549162,0.49813065,0.57433635,0.22474709,0.26048237,0.35047305,0.24188924,0.5008874,0.5307604,0.5291214
N2,0.38242385,0.3109196,0.26540762,0.37052292,0.43705449,0.3128498,0.38522068,0.41302395,0.26545703,0.24974605,0.22774056,0.25739843,0.30793554,0.32652622,0.3888703,0.50885355,0.44272518,0.5171164,0.5009775,0.54545027,0.457267,0.40713903,0.55740637,0.32330084,0.4622594,0.19525036,0.17498773,0.20534214,0.21090858,0.17623901,0.2147769,0.2866899,0.23356466,0.31540066,0.25447688,0.2104524,0.20380361,0.28698623,0.25800467,0.32667524,0.29026878,0.22118464,0.29226464,0.4623365,0.2969856,0.18352541,0.32618803,0.2809547,0.2872095,0.32359907,0.33437866,0.2587477,0.33973724,0.117319316,0.17133056,0.30501613,0.2313371,0.09162883,0.3638421,0.34807524,0.43620116,0.40131727,0.50406677,0.22286457,0.39774874,0.4419288,0.57177365,1.0,0.5179384,0.60650504,0.28584102,0.48103505,0.38262898,0.40342677,0.44551256,0.4428909,0.4323672,0.33283022,0.51784706,0.4718067,0.54274964,0.24649113,0.54163027,0.46178365,0.5071718,0.41166824,0.46974337,0.43626288,0.6357552,0.38135916,0.24775915,0.37458667,0.41496977,0.49922624,0.28036547,0.25239414,0.4024645,0.29716057,0.5122694,0.457019,0.49921983
N3,0.5255435,0.52558875,0.3381487,0.68851554,0.4934236,0.47983378,0.39512613,0.4242694,0.54067653,0.51254284,0.32223386,0.4652567,0.340765,0.38869366,0.42763507,0.40012106,0.38932735,0.37479958,0.36657342,0.5639576,0.5209518,0.3038174,0.59956485,0.38682693,0.45652688,0.27573264,0.22376785,0.35810685,0.17243135,0.22940885,0.20801117,0.29999202,0.280488,0.27169496,0.18723258,0.2143757,0.11538896,0.26771697,0.27817583,0.2718621,0.30024087,0.24795161,0.26180512,0.26359156,0.31091392,0.2705436,0.3509116,0.2894603,0.2465344,0.38597128,0.3488713,0.42217827,0.3705508,0.16178502,0.3461755,0.41149765,0.436876,0.26898673,0.48077783,0.23818913,0.3121684,0.3401774,0.54302126,0.27174193,0.4358052,0.5826317,0.50028145,0.5179384,1.0,0.50950885,0.34656397,0.70551556,0.53555053,0.33685192,0.34819436,0.3921247,0.48883447,0.37667954,0.40784958,0.447988,0.6492516,0.21341085,0.5045048,0.6002401,0.36380652,0.42747048,0.41426665,0.42591277,0.56921375,0.27768695,0.19470051,0.4050875,0.37108338,0.439774,0.15560286,0.22721614,0.3783582,0.26549393,0.43017727,0.44802493,0.48244116
N4,0.31182677,0.34298033,0.29231733,0.3543853,0.5235423,0.25217953,0.30301878,0.35997495,0.26276392,0.23776314,0.22129926,0.23262376,0.27946043,0.33175695,0.41149014,0.499535,0.44966567,0.5034325,0.44929588,0.5356494,0.46789047,0.389279,0.5950333,0.28786314,0.3956023,0.16132167,0.12410201,0.15744379,0.23914166,0.15632364,0.12708046,0.27470165,0.25146917,0.24086943,0.16845006,0.20236614,0.106046215,0.2740074,0.18813783,0.27212662,0.22776723,0.15683688,0.18293986,0.39214993,0.2320204,0.19527145,0.35528204,0.3303805,0.24455407,0.3329863,0.24872936,0.287174,0.20571116,0.075896405,0.25612003,0.31281954,0.15584208,0.08210172,0.36900717,0.19951439,0.3593154,0.27736923,0.38958552,0.2305953,0.31492236,0.4334185,0.41903853,0.60650504,0.50950885,1.0000001,0.26305363,0.4451862,0.26793143,0.29215372,0.37547573,0.22693895,0.36789918,0.35325515,0.42774618,0.41843548,0.5050276,0.1435368,0.39523965,0.2884803,0.30893168,0.32561004,0.34024775,0.4371065,0.6301224,0.29908973,0.21125618,0.25064003,0.4491527,0.47615105,0.23141432,0.27499053,0.3222291,0.34852463,0.43635926,0.4770386,0.56213766
N5,0.33297175,0.21429129,0.33467802,0.3332658,0.33604577,0.30760783,0.293635,0.34211186,0.355082,0.4514079,0.2867103,0.2676477,0.4743286,0.37224796,0.42645,0.3197493,0.28202963,0.3831333,0.290252,0.35987327,0.28108943,0.23173599,0.36090118,0.37021917,0.31575242,0.21155305,0.21419296,0.26370808,0.16566378,0.2626702,0.25873762,0.32934278,0.3438753,0.33284503,0.36412498,0.42338845,0.3186262,0.38018197,0.5059386,0.39576814,0.5133418,0.40333757,0.45407838,0.46521062,0.41707224,0.27094987,0.25523755,0.23070748,0.41979626,0.38768247,0.35245642,0.364569,0.33754587,0.33870378,0.36616635,0.282615,0.22501428,0.32589653,0.48027474,0.4005661,0.5280769,0.38731188,0.28432614,0.3646638,0.29335314,0.26796493,0.3356034,0.28584102,0.34656397,0.26305363,1.0,0.44391534,0.562793,0.33854324,0.2885442,0.32368523,0.2777116,0.34028503,0.2918512,0.27496174,0.3246081,0.46502393,0.4456452,0.36785206,0.45210427,0.42606032,0.26385155,0.43564108,0.2734222,0.39270556,0.2640566,0.389011,0.30246162,0.2786747,0.30959383,0.22681154,0.53135645,0.39670068,0.28249642,0.3044191,0.41242838
